El recorrido 18, 24, 6, 22, 26, 7, 23, 0, 27, 5, 11, 8, 4, 20, 1, 19, 9, 3, 14, 17, 13, 21, 16, 10, 15, 12, 28, 25, 2 tiene longitud 10886
El recorrido 19, 9, 3, 14, 17, 13, 21, 16, 10, 18, 24, 6, 22, 26, 7, 23, 0, 27, 5, 11, 8, 4, 20, 1, 28, 25, 2, 12, 15 tiene longitud 10205
El recorrido 20, 1, 19, 9, 3, 14, 17, 13, 21, 16, 10, 18, 24, 6, 22, 26, 7, 23, 0, 27, 5, 11, 8, 4, 25, 28, 2, 12, 15 tiene longitud 9962
El recorrido 21, 13, 17, 14, 3, 9, 19, 1, 20, 4, 8, 5, 11, 27, 0, 23, 26, 7, 15, 12, 18, 24, 6, 22, 10, 16, 28, 25, 2 tiene longitud 12139
El recorrido 22, 26, 7, 23, 0, 27, 5, 11, 8, 4, 20, 1, 19, 9, 3, 14, 17, 13, 21, 16, 10, 18, 24, 6, 15, 12, 28, 25, 2 tiene longitud 11066
El recorrido 23, 26, 7, 27, 0, 20, 1, 19, 9, 3, 14, 17, 13, 21, 16, 10, 18, 24, 6, 22, 15, 12, 4, 8, 5, 11, 25, 28, 2 tiene longitud 10678
El recorrido 24, 18, 14, 3, 9, 19, 1, 20, 4, 8, 5, 11, 27, 0, 23, 26, 7, 15, 12, 17, 13, 21, 16, 10, 6, 22, 25, 28, 2 tiene longitud 12176
El recorrido 25, 28, 2, 4, 8, 5, 11, 27, 0, 23, 26, 7, 15, 12, 9, 19, 1, 20, 3, 14, 17, 13, 21, 16, 10, 18, 24, 6, 22 tiene longitud 10869
El recorrido 26, 7, 23, 0, 27, 5, 11, 8, 4, 20, 1, 19, 9, 3, 14, 17, 13, 21, 16, 10, 18, 24, 6, 22, 15, 12, 28, 25, 2 tiene longitud 10743
El recorrido 27, 0, 23, 26, 7, 15, 12, 9, 19, 1, 20, 4, 8, 5, 11, 25, 28, 2, 3, 14, 17, 13, 21, 16, 10, 18, 24, 6, 22 tiene longitud 10541
El recorrido 28, 25, 4, 8, 5, 11, 27, 0, 23, 26, 7, 15, 12, 9, 19, 1, 20, 3, 14, 17, 13, 21, 16, 10, 18, 24, 6, 22, 2 tiene longitud 10809

El mejor recorrido es 20, 1, 19, 9, 3, 14, 17, 13, 21, 16, 10, 18, 24, 6, 22, 26, 7, 23, 0, 27, 5, 11, 8, 4, 25, 28, 2, 12, 15 con longitud 9962
